Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA-OR-A5J1-01A,0.001446878767010164,0,0,0.0476525950354587,0,0.27996035129523217,0,0.013554692989477582,0,0,0.02380227260379619,0.040614607461064406,0.05689923277978945,0,0,0.3617662289846883,0,0.025163205616067084,0.14223466782742555,0,0.0009,0.0060191623354864734,0.25,0.03241113117027323,1.070789295441755
TCGA-OR-A5J2-01A,0.04761256948530328,0,0.021015847963969134,0.15539515081971558,0,0.13044802324674643,0,0.03867715698149221,0.022621624886658927,0.015751523680053794,0,0,0.01975874903694441,0.17539538349177988,0,0.19344495480641635,0,0.11767936056997576,0.06219965503094424,0,0,0,0.11,0.06041954209875722,1.0596800758660483
TCGA-OR-A5J3-01A,0.012247191050014995,0,0,0.004698143712966195,0.2113196311207561,0.07544573073437794,0,0,0,0,0.05895393282669886,0.04832966146444813,0.019781780500756373,0.04704456437327146,0,0.16057577609863,0,0.2629306379173681,0.09867295020071185,0,0,0,0.74,-0.0102,1.0964090752497622
TCGA-OR-A5J5-01A,0.04857155787005173,0,0.0201691530462953,0.0314726573455882,0.1196676939689772,0.16823081579316995,0,0,0,0,0.047101690222827425,0.01672984999055268,0.026774809316041502,0.22207540749755159,0,0.25665385491955967,0,0,0.04255251002938476,0,0,0,0.25,0.029550144339392515,1.0811376858291937
TCGA-OR-A5J6-01A,0.010149157872810963,0,0.016092137606276792,0.057222773542119826,0,0.088009527298383,0,0,0.0001,0.008267964876707935,0,0.023416690508963483,0.06989912108598406,0,0.0009,0.5767880259868898,0.021628134772625766,0.003516652201622049,0.12403828008426447,0,0,0,0.13,0.05193999225807438,1.0830719912470057
TCGA-OR-A5J7-01A,0.003948617317842553,0.028466105466254568,0,0.09994453308672432,0,0.3621263800424105,0,0.0011288200100937856,0,0,0.07338785799242627,0.05859633711078906,0.10168064488419605,0.060892539595952436,0,0.005651216881601613,0,0.1646625909718897,0.03707903178482957,0,0.0024353248549895978,0,0.52,0.0018211896155708774,1.1068750799418665
TCGA-OR-A5J8-01A,0.00728670881719399,0,0.0016040479534512387,0.12985631628211916,0,0.10373819050194293,0.01281217975762347,0.023301911893017196,0.011277834192104758,0,0,0.05585685780235284,0.006771772395520518,0,0.11926838440694887,0.5066298717467675,0.006244042208189886,0,0.013344649413724482,0,0,0.0020072326290431464,0.02,0.16771191881889058,1.0329995915318384
TCGA-OR-A5J9-01A,0.023044365925295296,0,0,0.14924669675873156,0.06463202282848943,0.03640945155866836,0.00850736611167216,0,0,0,0.09043293258065142,0.0007,0.22452718080481301,0,0.029294192233837026,0.3554899325224747,0,0.01769609060958083,0,0,0,0,0.68,-0.0062,1.0942395661936672
TCGA-OR-A5JA-01A,0,0,0.055246908419813015,0.05126588388320447,0.12430025730869722,0.21596726488957171,0,0,0,0,0.02580246332253815,0.01455311238483523,0.045610578266477526,0.11727749823470876,0,0.20467454458996467,0,0.058607135250968154,0.046479352384577004,0,0.040215001064644075,0,0.17,0.04257580011688072,1.0636890664783472
TCGA-OR-A5JB-01A,0,0.03053861231917752,0.0002,0.2687480120532944,0,0,0.1114098812389406,0.0279241266516004,0.013513421609816464,0,0.11148304959147327,0,0.007854532673617265,0.07504329959963066,0.17908066835333364,0.13215679609892353,0.021490563434657904,0,0,0.020570355201573007,0,0,0.01,0.3594191367056495,0.9421664822618294
TCGA-OR-A5JC-01A,0.004764657956380262,0.017087056813430195,0.0018711676108495079,0.03304260571230046,0.027003376914379637,0.1499195282144942,0,0,0,0,0.02025209803203426,0.04332299388712328,0.03946807980555816,0,0.10391710516912053,0.45410032661969624,0,0.001449816135198416,0.10380118712943485,0,0,0,0.27,0.025647366370468487,1.0809846488183847
TCGA-OR-A5JD-01A,0.0367553984939305,0,0,0.1536169675748543,0,0.19429125515579293,0,0.017965714221481553,0,0,0,0.06804129976677599,0.16446743107484985,0,0.008130913539309408,0.21513630006048,0.01163434302324619,0.02268344054109948,0,0.1072769365481798,0,0,0.19,0.03826636141106571,1.0734447995210499
TCGA-OR-A5JE-01A,0,0,0,0.021536443133955762,0,0.03545039086032833,0,0.02131895639249252,0.0033030068289027297,0,0,0.041200476691932164,0.2121739976939242,0,0,0.2554222840173504,0,0.23099247806478182,0,0.12174215398014547,0.05685981233618661,0,0.11,0.06056652466629138,1.0742551268424398
TCGA-OR-A5JF-01A,0,0.0075292532195393716,0,0.07117183313665902,0.07292401700570866,0.12506896370796433,0,0,0,0,0,0.0812064792925989,0.0566956563369109,0.06810797923823045,0.046465085609694146,0.28361880272038403,0,0.11375151320313677,0,0.05004938468602475,0.023411031843148657,0,0.4,0.014583399746813061,1.0834295770291922
TCGA-OR-A5JG-01A,0,0,0,0.06170741285422047,0.07307771537957077,0.18141486693105863,0,0,0,0,0,0.024282140417611512,0.012161528175293684,0,0.06113695049680604,0.40550851148767003,0,0.001263235566164185,0.09571126443113379,0,0.0784020058006221,0.005334368459848803,0.15,0.04649559217438865,1.0661828485093097
TCGA-OR-A5JI-01A,0.03607580641095835,0,0.005484118311832019,0.1622132032679371,0,0.29211230754490797,0,0.011965081447483553,0.018723587414843132,0,0,0.054995017381516346,0.018432741309257112,0,0.024014299928519237,0.23218930185016984,0.005209474553121715,0,0.13858506057945363,0,0,0,0.19,0.0383014742970513,1.0781077906203396
TCGA-OR-A5JJ-01A,0.1057732808913151,0,0.114534127142339,0.2735484698671445,0,0.01705502360298409,0,0.06483999372892435,0.012194436700722344,0,0,0.05647677488396427,0.005979165763291559,0.11827889907050725,0.047312322608487375,0.11979437534002538,0,0.028210506231169954,0.03600262416912485,0,0,0,0.02,0.11821449219118316,1.0481420938543273
TCGA-OR-A5JK-01A,0.021904152584618128,0,0,0.4827792196836851,0,0.0011872576084810513,0.012435891880673712,0.05920235155830288,0.01850371465573862,0,0,0.06411251193341147,0.011120331158529718,0,0.1001137370902348,0.12860287329899628,0.014539918801015125,0,0.08549803974631319,0,0,0,0.02,0.13028759044913024,1.0681827030488293
TCGA-OR-A5JL-01A,0.07613455513924966,0,0.022396497374267715,0.027750773857030373,0.015665272897704304,0.2054282160225697,0,0,0,0,0,0.07735348319387313,0.18338474949031508,0,0.0010277525332468371,0.35546077869303494,0,0.012832713733466714,0,0,0.022565207065241552,0,0.18,0.04099147862695728,1.0702466407880107
TCGA-OR-A5JM-01A,0.006991328865102525,0,0.0013493311568081394,0.24017081441013882,0,0.19025351158366233,0,0,0,0,0,0.05316990326505657,0.06650830821928927,0.2135799426227328,0,0,0,0.17490192144436206,0.033717883654035025,0,0.019357054778812458,0,0.42,0.00918696779316673,1.1010985597831122
TCGA-OR-A5JO-01A,0.020225401650884538,0,0.0020671775074161754,0.05846294447298594,0,0.18047952826267383,0,0,0.0063277738209619495,0.03814732181878278,0,0.08706496637041651,0.03657221841672058,0,0.04096036712902642,0.3029521469962667,0.04534483673282346,0,0.18139531682104104,0,0,0,0.02,0.13265944454936948,1.028702995428417
TCGA-OR-A5JP-01A,0,0.015142691969627062,0.030318258634145605,0.005031859839516461,0.046244358863117285,0.26429390379251416,0,0,0,0,0.025171750941527616,0.008645612494362355,0.023280561320145856,0.14153583676155115,0.021442836860601906,0.21647466799186327,0,0.16516300850740623,0.02251298572711206,0,0.014741666296508967,0,0.4,0.012855873987615065,1.0816563390056435
TCGA-OR-A5JQ-01A,0.005542037640245726,0.016223948750356508,0.004053269084740946,0.22594772154019666,0,0.2281157357578792,0,0.0098134727937013,0.011797721226218076,0.03487954796829146,0,0.023952310126790874,0,0,0.1179970248351825,0.2534064601182922,0.004513719725216787,0,0.06375703043288779,0,0,0,0.03,0.08951882574402355,1.0659337140734766
TCGA-OR-A5JR-01A,0,0,0,0.1472493727269317,0,0.24879637876322105,0,0,0,0,0,0.11851593436051937,0.12405446472358037,0,0.009957674236589251,0.26861049774931534,0.016488159157475778,0.01934138714904365,0.04698613113332354,0,0,0,0.17,0.04248762847593879,1.0790287986141551
TCGA-OR-A5JS-01A,0.1061213345371295,0,0.0315250294497213,0.1808729442570947,0,0.06145419823582291,0,0,0,0,0,0.11421739352046269,0.12573814006953613,0.058360569664099936,0,0.11986946188403613,0,0.16884460003597687,0,0.017340873903657326,0.01565545444246252,0,0.48,0.005887060968482942,1.086051692927014
TCGA-OR-A5JT-01A,0,0.01959631438181378,0.016330678533099066,0.02924372599541209,0,0.27400327845506167,0,0,0,0,0.02200776171508519,0.04944363558978755,0.06504332157668141,0.03354323995521111,0.04913243780801523,0.24362194005485316,0,0.11362014531474755,0.08171082093482106,0,0,0.002702699685411154,0.19,0.03897872087995078,1.0623726351486469
