Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA-2F-A9KO-01A,0.06450117943216886,0,0.04009282913812941,0.121579952035539,0,0.1746852025396262,0.1456162638896707,0.04027425319318509,0.01225319147393975,0,0,0.0288564440245415,0.02212225405595127,0.030632595127644588,0.09496195352232907,0.11035108124036891,0.032644849466215015,0.02099193881788242,0.06043601204280826,0,0,0,0.01,0.241863208195593,0.9836372572099071
TCGA-2F-A9KP-01A,0.08051152642135315,0.053311778044353435,0.07490501567603904,0.00925866564767606,0,0.114921208700762,0.06417065166463724,0.03986790973324714,0.0038767303609621427,0,0.03994626373517123,0,0.030345122900213704,0,0,0.12446188977587663,0,0.27444157649238643,0.01614735311569291,0.016905881848514815,0,0.05692842588311407,0.49,0.01180714372164647,1.081330931677845
TCGA-2F-A9KQ-01A,0,0,0,0.11026552056253866,0.022343205400393557,0.12266789515803396,0,0.02759038238517095,0,0,0,0,0.1146959246947859,0.009455732309545335,0,0.15234272932268564,0.0807368677461773,0.1842996866518824,0.1395003881097885,0,0,0.03610166765899783,0.87,-0.0259,1.0840079650090058
TCGA-2F-A9KR-01A,0.03366390415390333,0,0.06406747852712807,0.10939196409432587,0,0.03550832521249285,0.07486462294731261,0.15129333486989724,0,0,0.013207122923207807,0.07517567899976545,0.025179905328383212,0.06246599195718312,0,0.056921464908443076,0.028184979409435915,0.13613239454618445,0.08950781080154119,0,0.020035319856159663,0.02439970146463614,0.49,0.012017714873545603,1.0700681672560264
TCGA-2F-A9KT-01A,0.04409435009605109,0,0.001,0.07130572372013141,0,0.06303510193299734,0,0.09860460060935543,0,0,0,0.01394517130587433,0.022565910088787784,0.23278749797628334,0.10288570858553248,0.19516715103165586,0.013635991177265905,0.01303306683631577,0,0.041319582856386934,0,0.08666608025265105,0.28,0.04715852297567736,1.080494187838786
TCGA-2F-A9KW-01A,0.059285431818844755,0,0.010623996764729896,0.014258604372391636,0,0.014964519315594591,0.033594233691723915,0,0.04033287775298508,0,0.008085554743824802,0,0,0.35941215318861963,0.028150113834786286,0.17973476713637684,0,0.1304054121933145,0.012815041879515078,0,0.034812912580497894,0.07352438072679507,0.17,0.07645850383355385,1.0871713242335135
TCGA-4Z-AA7M-01A,0.03906814081582534,0.017364155471735494,0.02229736130247752,0.11838893229946916,0.12044710612196687,0,0,0,0.027156208601652965,0,0.06442181685653471,0,0.01368954724584198,0.2996441249998872,0.06404715753672173,0.15036211726430462,0.03699526568407825,0.015344419902481869,0,0.01077364589702231,0,0,0.04,0.1431137074497932,1.0378367547713185
TCGA-4Z-AA7N-01A,0.30123633331031274,0.10253509627178234,0.028233603050799003,0.07273112896641189,0,0.059068783751509986,0.025331712759700586,0.09598890108336994,0.07603031515525636,0,0,0.009497246112092725,0,0.11980677390474888,0.02593034928234924,0.04399595042412712,0.00867766830741762,0.01193193540927157,0.019004202210850033,0,0,0,0,0.6296619809989834,0.7819509356935678
TCGA-4Z-AA7O-01A,0,0.02834013483467242,0.06820028560253104,0.258623789295479,0,0.0900947583184278,0.00983547639123471,0.14352106598294864,0.010405231784825799,0.01635453256638499,0,0.04120313673108726,0,0,0.011722883176819021,0.09872365345044498,0.04911335018620186,0.13281806694969678,0.03133783549383948,0,0,0.009705799235406164,0.01,0.20571094528350917,1.0118002183309465
TCGA-4Z-AA7Q-01A,0.0006,0.0024332605870796974,0.021365396966086643,0.26919479471083824,0,0.02328111193590179,0.12138081939133213,0.0592305791859717,0.0409448351388747,0,0,0.016195997209687663,0.00661875556374528,0.06110751504969448,0.19999177524174375,0.10213888784254792,0,0.02544961207103735,0.05004923512362519,0,0,0,0.01,0.29804077033331977,0.9743712120914442
