Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA-02-0047-01A,0.0002,0.00419778136511779,0.0005,0,0,0.14821834175688395,0,0.028588172150576303,0.020259983140318887,0,0.09251742841482025,0,0.03892195162121612,0.3231359117479468,0.012906753120818695,0.31143685211836797,0,0,0,0.009087405234482208,0,0.010004882801550756,0,0.26866172195554733,0.9925614298372364
TCGA-02-0055-01A,0,0.0003,0.0008,0.07247252038861693,0,0.06688135049082564,0.01211859445449016,0.015246796880370131,0.019486796916647276,0,0,0,0.2388359991673497,0.05869770001657353,0.01412251397598655,0.2896584870358574,0,0,0,0.16152522690940846,0.0026859336746713446,0.0471944681342855,0.02,0.10520910234728756,1.0572575380633782
TCGA-02-2483-01A,0.006965636468578958,0,0.002910676410764927,0,0,0.0810139139353512,0,0.021516132901110787,0,0.00637499174696461,0,0.06389741936104046,0.032334226665891065,0.192900697633745,0.0029313120517401934,0.3632456153954387,0,0,0,0.19108266095959,0.004556025667304849,0.030270690802479287,0.01,0.1496384686923085,1.056372506928239
TCGA-02-2485-01A,0.029243892705339718,0,0,0.009955816804856611,0,0.10756145674552753,0,0.11862226987067451,0,0.022569166269619325,0,0.05226597504302691,0.09515312931285358,0.02835620214990446,0.06974475425276813,0.363743337872309,0,0.016991301638425767,0,0.08579269733469444,0,0,0.14,0.04666688599487815,1.0697779579976519
TCGA-02-2486-01A,0.03401476038806684,0,0.0012664338098752317,0.0921765690359442,0,0.06721261288180798,0.016441050662439588,0.0005,0.004265522404481104,0.0014113034639362443,0.00686457973794294,0,0.3539202300121998,0.03241368461553742,0.07191076701102861,0.2522654942027306,0,0.0034850623482854367,0.009883900051484679,0,0,0.051973648648764526,0.02,0.12240695368058019,1.0512837632342171
TCGA-06-0125-01A,0.017032513921194307,0,0,0.010205709734388788,0,0.013767974985789263,0,0.030160382604053116,0,0,0.05577890857420057,0,0.10381504192129666,0.30730115126055585,0.040629692883244056,0.391657978877132,0,0,0.007337322273042971,0,0,0.022313322965102377,0.02,0.12365136923962641,1.078344783111113
TCGA-06-0125-02A,0,0.004465479319295993,0.0010800669148382715,0.11644510961762038,0,0.0684665035589378,0,0.04106620259793116,0.008449006185610158,0,0.02016546362990388,0.020377704708698503,0.19130107792256215,0.15793251017766508,0.050874167558494464,0.28564662526968904,0.004306287532700743,0,0.004932080598119217,0,0,0.024491714407933213,0.03,0.1034468971485247,1.0531268859193061
TCGA-06-0129-01A,0.06118048996932942,0,0.0019222923639962812,0.014301370601296647,0,0.08832432513667364,0,0.007510405971471027,0,0,0,0.05613080219018064,0.20785724050919677,0.0018313589698595748,0.024687147177177828,0.42919952413181545,0,0,0,0.10519409073583663,0,0.0018609522431661152,0.02,0.10805139896862168,1.0551423366061201
TCGA-06-0130-01A,0.009621034707898223,0,0.001626600653664848,0.011502555412405647,0,0.11635602831904233,0,0.0054840882573383605,0,0.05608386792741364,0,0.05194302826894314,0.19197736365673865,0.0041007239166396025,0.09866699846669767,0.4347794000373062,0.009316199513639248,0,0.005122915313135731,0,0,0.003419195549136697,0,0.18421966306875892,1.0232006339920703
TCGA-06-0132-01A,0.023480458246819866,0,0.0009,0.02070040688962016,0,0.08411694064398027,0,0.011418661501522277,0,0,0,0.006664066342010338,0.35921654012669507,0,0.028980740413914876,0.44988612927057575,0,0,0,0.013425141910343772,0,0.0011662885556449113,0.01,0.14713453317195413,1.0541219190173596
TCGA-06-0138-01A,0.006443104228578774,0,0,0,0,0.09661203252973255,0,0.01746146592450234,0.008468719033869471,0,0.018950838851712424,0.02223409629800481,0.10404898325814743,0.20733298895857807,0.010551711616532298,0.33376827203311227,0,0,0,0.14894606678255903,0.008342685691521383,0.016839034793149108,0,0.18972796505332823,1.028724917797848
TCGA-06-0139-01A,0.013526079488354069,0,0.0024738752844744353,0.011191024259355078,0,0.007771129473956645,0,0.03192119354219153,0,0.016930912044749946,0,0.03527711131846836,0.10995733363132285,0.07339621560025118,0.04502634123943047,0.5787842349315035,0.0032957589149229362,0,0.012093302865784196,0,0,0.05835548740523476,0,0.24554842384954678,1.0100622506086503
TCGA-06-0141-01A,0.016530005662812326,0,0.0005,0.015222674814867701,0,0.06538141934146503,0,0,0,0,0.025218996439263678,0,0.17762206941196762,0.08388140525423117,0.013306086194753295,0.5491714047530878,0,0,0.018404812597375628,0,0,0.0347286308314737,0,0.20104514021131312,1.0318484964710517
TCGA-06-0152-02A,0.01144694948113558,0,0,0.01919817800904215,0,0.17421290327144362,0.0009,0.017907384899366885,0.02620938727380938,0,0,0.03786544891942535,0.009388081948416803,0.2868351393469254,0.13728618145784752,0.2230278230192383,0,0,0.05318189703200205,0,0,0.0025396187430439393,0,0.25070009462123766,0.9957952813849213
TCGA-06-0156-01A,0,0.0015434514545700224,0.0006,0.04585871095758494,0,0.05872961025105957,0.006190995216884331,0.007121053908230014,0.0045210454631002695,0,0.09282929338748126,0,0.05927462064280786,0.0673006838372899,0.015121764288344643,0.4829924163169063,0,0.0035658092472661183,0,0.1170470884121843,0,0.03725757640250532,0.02,0.12220687256368146,1.055334813476881
TCGA-06-0157-01A,0.01192103076615774,0,0,0.021279616457326282,0,0.1554902813556942,0,0,0,0,0.03519379719334394,0,0.16364222446612064,0.11031845647869473,0.04375470361941077,0.40987583846082154,0,0,0.02487148951176394,0,0,0.0236525616906662,0.11,0.06166902915628576,1.0755295496600883
TCGA-06-0158-01A,0,0.022034181357396154,0,0,0,0.13584382363678169,0,0.008323358783369865,0.008658973210958664,0,0.04088278951272793,0.0073300500486295035,0.030816625384731965,0.37253682166825214,0.009643135203579664,0.3401273860969101,0,0,0.00495151277848153,0,0,0.018851342318180857,0,0.2407672785536693,1.0177444127118005
TCGA-06-0168-01A,0,0.00155469101926823,0,0.009098385667879117,0,0.08493046980368585,0,0.006738166392170206,0,0,0.03366663266670008,0,0.18099849056353176,0.12625507470276215,0.04072300593617287,0.5050649068904665,0,0,0,0.002130392652795902,0,0.008839783704567337,0.01,0.15118497888535312,1.054928766298786
TCGA-06-0171-02A,0.012737064783684422,0,0,0.028852853974955905,0,0.0669226141360826,0,0,0,0,0.0007,0.0016843795292495033,0.31543912079976155,0,0.012939718354146625,0.42817991418121315,0,0,0,0.03919773224715134,0,0.09330464833157297,0,0.19087557308843547,1.0368734801885595
TCGA-06-0174-01A,0.0167220043604073,0,0,0,0,0.05899905512152661,0,0.003921211803005359,0.011113282483842584,0.0074445982353005214,0.002383705790650993,0.005555185718405465,0.025447177948088113,0.4430859671465021,0.01231767795632587,0.36984136190678746,0,0,0.00962406044158699,0,0,0.03354471108757058,0,0.19400754693128824,1.0677825570606367
