Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA-04-1331-01A,0.16280873428717776,0,0.005185913634356368,0.05677006443322226,0,0.0861913224570011,0,0.1008358296277979,0.007404398329565362,0,0,0.06531097610621676,0.010578003168846238,0.17592813618391223,0.12443342254302622,0.1493351784049212,0,0.04957288599359365,0.005645134830362963,0,0,0,0.09,0.08188234682450554,1.0629717576268458
TCGA-04-1332-01A,0.019198855511772236,0.027768885686135822,0,0.04544648982887405,0,0.2522219603804605,0,0.021944524093788005,0,0,0,0.03597579284452623,0.0667045263857463,0.05826516311823481,0.05903824847379992,0.2777846211263687,0.013632161126527502,0.005792149791797192,0.06159768535096466,0.04863185942634797,0,0.0059970768546561,0.2,0.05084455192436479,1.0594513346261307
TCGA-04-1338-01A,0.028577758181409143,0,0.005087375644789988,0.215999877543381,0,0,0.23006956414816152,0.03132095955481944,0,0,0,0.032001691814152085,0.01957630714533909,0.08619181148769711,0.06863086074117938,0.20422348806387758,0,0,0,0.07832030567519378,0,0,0.04,0.1659515813831857,1.0184472653503556
TCGA-04-1341-01A,0,0.05839597120848725,0.21464822875952816,0.15461369979656928,0,0.1387000199191717,0,0.056623377984726754,0.031275955401745256,0,0,0.06971775466209106,0,0.11863269680085431,0.06330360729879016,0.059341800996998234,0,0.019893263122990022,0,0.014853624048047834,0,0,0,0.3258363910780363,0.9615307576978656
TCGA-04-1343-01A,0.016457324105730278,0.08357710656717983,0.037724338671917976,0.14131823087684361,0,0.1200627946569026,0,0.04114829057043635,0.05227686530346211,0,0,0.07926646842535087,0.01775527244381997,0.05680036528151261,0.1140101488149372,0.14956732006234408,0,0,0,0.08971571783684103,0,0.0003,0.01,0.2370815461277597,0.9936697678344274
TCGA-04-1347-01A,0.0778698642697885,0.016340771576754225,0,0.024862178900736318,0,0.07630779898500265,0,0,0.02263730411063298,0.007902485826344074,0,0.07994974154004793,0,0.39322164608383875,0.05790260675818113,0.19389315029009827,0,0,0.04911245165857522,0,0,0,0.09,0.08368134083548058,1.0820345805261893
TCGA-04-1350-01A,0,0.08260596930408852,0,0.3787972041583469,0,0.05270458146258204,0.0669291990932745,0.11551664319437496,0,0,0,0.027559992341747767,0.04269339700610908,0.10551819251591743,0.0333065626934411,0.05301700768257814,0,0.02296658396497738,0,0.01838466658256221,0,0,0.21,0.042546027481806144,1.0969682655052417
TCGA-04-1356-01A,0.03456886462668875,0,0.0038751715274515115,0.04345552349648948,0,0.17267664458435095,0,0.0276906900812138,0.0288308787916354,0,0,0.023703364167035806,0,0.4987385839710294,0.02972742919748634,0.04594700857960183,0,0,0,0.09078584097701674,0,0,0.03,0.21855028895555617,1.0307452596157494
TCGA-04-1357-01A,0.014429838764289236,0.0343729648892104,0.011011583672689174,0.23162764755811155,0,0.09420241446537427,0.03622151819148836,0.0626614605990498,0.05544855006986657,0,0,0.022590448610491892,0.008020046481481791,0.09689482433465872,0.1336721248822537,0.15388611790847492,0.023149255368720912,0,0.021811204203838686,0,0,0,0,0.2819360622433028,0.9746092982706336
TCGA-04-1361-01A,0.017886431464488938,0.0026567903470884322,0,0.10325421808618522,0,0.34681364772087575,0.021491976247933576,0.021898964631387106,0,0,0,0.026830758230970732,0.07646882948168526,0,0.03646513139238651,0.15258639071851623,0,0.1746698405062173,0.018977021172264942,0,0,0,0.08,0.0926105049780254,1.0595780408581565
