Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA-3B-A9HI-01A,0.022706490305542962,0,0.0003,0.1472743750972559,0,0,0.061294516216986415,0.034520832225858215,0.02426443374031881,0,0.005662645641409206,0.008706426833693567,0.004013870030648878,0.22735757017320438,0.09847330734736648,0.3097772147791277,0,0,0.0544471840178819,0,0,0.0011876051594909244,0,0.6144362546849831,0.8037002358875447
TCGA-3B-A9HJ-01A,0.1733224281628019,0.06161343246608147,0.1318282469870952,0.19197865576319798,0,0.07804579267445154,0.023016696983123197,0.04363576780732553,0.062012878277217826,0,0,0,0,0.07555191743707088,0.014504484447021838,0.09682542525849396,0,0,0.045512812706874614,0,0,0.002151461029244097,0,0.668133871185279,0.7610937787946547
TCGA-3B-A9HL-01A,0,0,0.0007,0.030252547685255902,0,0.1603601188365677,0,0,0,0,0.02170728898347584,0.019211030002086658,0.03872242512865544,0,0.020924619612636027,0.6248382900631718,0,0.04345424525571801,0.016055322009420035,0,0.02374107065433334,0,0.03,0.18613118433073833,1.0296872835038267
TCGA-3B-A9HO-01A,0.003981456172604669,0,0.0032545074450780224,0.25817362440588537,0,0.03527305719402999,0,0.039802996862988875,0.06895690887595136,0,0,0.026673175132573116,0.03816699814672324,0,0.09983454303610019,0.40780848164318034,0,0,0.018074251084884772,0,0,0,0,0.4256504002420266,0.9048339548188974
TCGA-3B-A9HP-01A,0.015499240298167724,0.0013602907167768602,0.0014465619436297564,0.04057389396750056,0,0.09504533782240158,0,0.008502938809637033,0.006006574548128082,0,0.019689943673294203,0.03578268631333161,0.019230933979735448,0.10316217545265191,0.10983450144514745,0.46493510405505084,0,0,0.07892981697454687,0,0,0,0.03,0.20497245456085383,1.0139943584101565
TCGA-3B-A9HQ-01A,0.02044892290989451,0,0.0006,0.06786684090112154,0,0.1997410650085205,0,0.020107696163955625,0.018568499761345426,0.009352162786788635,0,0.02164022365461385,0.035202276023864845,0.02677361614936945,0.09034803481299362,0.2613577097983721,0.008838427270352183,0,0.21916263057513538,0,0,0,0,0.3496147286087728,0.9382731231142403
TCGA-3B-A9HR-01A,0.026353671992569893,0.09519990706353935,0,0.11338467326640624,0.018013301007354942,0.1787218866400275,0,0,0,0,0,0,0.02365944868945761,0.07438297730839016,0,0.2017564626606725,0.022233702042655165,0,0.24077230535491825,0,0,0.005521663974008391,0.22,0.05973554301683794,1.056519243933029
TCGA-3B-A9HS-01A,0.02331540017056561,0,0,0.31485975994018006,0,0.01222449990245315,0.0024827982487738293,0.06415113585450641,0.040461480994720044,0.0284177055116157,0,0.032124358102782725,0.005723026494095179,0.04859423033427131,0.10859950583785773,0.30717111214666926,0.011874986461508955,0,0,0,0,0,0,0.36395983946752153,0.9376951546760174
TCGA-3B-A9HT-01A,0.01758935263883298,0,0.02086807897367066,0.2281010769874457,0,0.07479626264686035,0.05314852236596611,0.06702692041857648,0,0,0,0.02886140782207957,0,0.0978821911432831,0.08838865025631489,0.27108904459793637,0.011514294591816496,0,0.033864215497569794,0,0,0.006869982059647492,0,0.3732038430702764,0.9288671368499981
TCGA-3B-A9HU-01A,0.07901343978430121,0,0.005107837141746351,0.21959135966786136,0,0.16495697779284205,0.017544914962798204,0,0.04243537273860907,0.028345342631025394,0,0.013638149320325995,0.07110606800223103,0.034688638856882704,0.12193042404867388,0.1654391013784326,0,0,0.03619764856684109,0,0,0,0,0.375354235739649,0.9290262060737156
TCGA-3B-A9HV-01A,0.04364685931390468,0,0.0013010186694780706,0,0,0.23597466049445415,0,0,0.008614205065384259,0.0012774974676941586,0.027109867654462938,0,0.041524855853433545,0.12393506186814006,0.011050784523925114,0.23919495779010877,0,0.02321221800786373,0.24315801329115053,0,0,0,0.53,0.017151855149006436,1.0737263495956366
TCGA-3B-A9HX-01A,0.017147616883807747,0,0.004337868248435935,0,0,0.07852926768426455,0,0,0,0,0.06039571842678738,0,0,0.28288265004005303,0,0.1282573964139037,0,0.13130381412409575,0,0.25809338666912274,0.006735547062033692,0.03231673444749548,0,0.31341129029288417,0.9751766483440775
TCGA-3B-A9HY-01A,0.022769004275569507,0,0,0.08155420991150313,0,0.07192402497527721,0.04620673318532705,0.03154722406780265,0,0.03686348718991206,0,0.008478564342509645,0,0.15723717470801807,0.16705124314108652,0.25481124164504015,0,0,0.12155709255795406,0,0,0,0.02,0.2519644735677852,0.9877231166681912
TCGA-3B-A9HZ-01A,0.01766280189211929,0,0.012450674965123826,0.11299072997842534,0,0.20917138499671353,0.011558724296831883,0.050660334285976286,0.003430320176869894,0.014575968464466337,0,0.012092642383896391,0.05069634302441168,0,0.07357708564419645,0.30700151767748873,0.02212168875185406,0,0.09855747462141783,0,0,0.0034148577726724875,0.03,0.2064421784558935,0.998382163740919
TCGA-3B-A9I0-01A,0,0,0.0005,0.14136358189879816,0,0.175073236191999,0,0.025996352577902653,0.02547172679370905,0,0,0.038790830956117774,0.055768856424291885,0.0003,0.09368044954318112,0.31709752762082477,0.0006,0,0.12531632314625005,0,0,0,0,0.343678849581764,0.9417433085164323
TCGA-3B-A9I1-01A,0,0,0,0.06284667240576032,0,0.1699881137774193,0,0.019038492585105392,0.026561208760566397,0,0,0.041811863891625986,0.011584620923527786,0.10441102872465702,0.06456118822707917,0.4218374315102745,0.010471795824156485,0,0.0668875833698277,0,0,0,0.02,0.24783384014984414,0.9890383211961501
TCGA-3B-A9I3-01A,0.08819072139906552,0,0.06990812027589588,0.2155289381244129,0,0.22952009442422125,0,0,0,0,0,0.058113235291780106,0.028124636087087915,0.05063000309026831,0.029530578911015556,0.12157203296839915,0.019995464672052935,0,0.0827134616337405,0,0,0.006172713122059977,0.02,0.25982842087312874,0.9819335777091522
TCGA-3R-A8YX-01A,0,0,0,0.07246273999785374,0,0.23442589237462247,0.006385154808152906,0.006411094101136714,0.018376083368175467,0,0,0.024805857863192702,0.005937779971712465,0,0.06694472950566355,0.5303113006191489,0,0.008516907722229775,0.019202507225265952,0,0,0.006219952442845338,0.08,0.0989346714845684,1.061709369757464
TCGA-DX-A1KU-01A,0.024039294897869656,0,0,0.10758372271146192,0,0.1567474323182391,0,0,0,0.01902201757741638,0,0.029655893958434123,0.0370591498787149,0,0.13716558076506766,0.4142550849750251,0,0,0.07182917310534283,0,0,0.0026426498124282657,0.06,0.16925009220921372,1.0240250226159722
TCGA-DX-A1KW-01A,0.0034288024596261643,0,0.0012811266532591677,0.10907993273315823,0,0.09779822482569238,0,0,0.010438138272790129,0,0,0.006266499872641048,0.08167701250818558,0,0.023460107878922554,0.5096177669909252,0.0050317503290313,0,0.11861189871155055,0,0,0.033308738764217825,0.19,0.06838756138651002,1.0678011742468512
TCGA-DX-A1KX-01A,0.039140164744171466,0,0,0.06436646709474217,0,0.09875618922957992,0.0011787649859173284,0,0.02837752172173911,0,0.0018008208759078192,0.005955040143615542,0.005071713537043934,0.16075394771454074,0.11801170836878667,0.4094933872289837,0,0,0.06591980543851152,0,0,0.0011744689164600512,0.02,0.23702901844103932,0.9993760649429417
TCGA-DX-A1KY-01A,0.033980308733537745,0,0,0,0,0.26730930324905655,0,0.02449164620968775,0,0,0,0.04495208546750523,0.06944503722139345,0,0.027678059290886164,0.4877131111667432,0,0.001784258843393705,0.04264618981779616,0,0,0,0.85,-0.0219,1.1027211143680353
TCGA-DX-A1KZ-01A,0,0,0,0.09164349710892328,0,0.1039580905070595,0.0033363789682261825,0,0.002075046354923703,0,0,0.012211449116598857,0.11052396570366549,0,0.0056527754064850475,0.5562499535060671,0,0,0.11434884332805094,0,0,0,0.02,0.25422147725483724,0.9908477982576703
TCGA-DX-A1L0-01A,0.06241328507130508,0,0.0038285582938304592,0.026373031403561096,0,0.18188820358622543,0,0.008833732983950614,0,0.006064677151604663,0,0.0869463819600905,0.042871927378806414,0,0.17477913514372165,0.3308250134477911,0,0,0.075176053579113,0,0,0,0.13,0.08625167219804777,1.062500786496605
TCGA-DX-A1L1-01A,0.050864097154721455,0,0.025389943951120778,0.17623894439568671,0,0.016961824012253057,0.030460491241027628,0.017314564016604625,0.02060815970913272,0.022346522054950153,0,0,0.040938567655352184,0,0.1527275778414786,0.36515681463164523,0,0,0.0809924933360269,0,0,0,0,0.3845425672854201,0.9237468282375676
TCGA-DX-A1L2-01A,0.005543527100843277,0,0,0.04313996032283248,0,0.16407032705129293,0,0.010114025435178762,0,0.005786323414316068,0,0.06410280199452587,0.015187402275528372,0,0.07983609345313904,0.4714147819325442,0.007490937876409621,0,0.13331381914338944,0,0,0,0.06,0.14061321018784848,1.034191074726901
TCGA-DX-A1L3-01A,0.009993586175731243,0,0.0010996430417223248,0.06968416407586016,0,0.0907811902167068,0.006026016306149473,0,0.02996589590063792,0.010321592660819336,0,0.029131397132727322,0.024795706188501056,0,0.11962070817583037,0.3435217485250871,0.016046506389512924,0,0.24901184521071393,0,0,0,0,0.3125232174343751,0.9571534087107937
TCGA-DX-A1L4-01A,0.007298784133845992,0,0.0006,0.011950679633209308,0,0.14808795224177884,0.010902311165944473,0,0,0,0,0.020639097137905568,0.13631146005461117,0.1870604389723746,0.0029377086032929822,0.32840613076832276,0.013536304269040442,0.02223215249562264,0.05793070767931648,0,0,0.05210889346923527,0,0.3511718369396374,0.9429411758941687
TCGA-DX-A23R-01A,0.05419881849338147,0,0.00389235365977219,0.04973968377873758,0,0.21751373982816624,0.008219183333640759,0.018208640232001933,0.00399149271102534,0,0,0.05473158492092513,0.016073133868328437,0.04199186368112187,0.08436208696255253,0.30576776659715227,0,0,0.14130965193319425,0,0,0,0.4,0.035954781972762424,1.0650183983128019
TCGA-DX-A23T-01A,0.025758297801228767,0,0.03690057933471563,0.10557508201467636,0,0.1609742397001659,0.018588890023400292,0.004273813170066311,0.048865818793214354,0,0,0,0.14992771023454468,0,0.026735887683022933,0.3955820681521687,0.001286631635126377,0,0.02406246573764911,0,0,0.0014685157200207018,0,0.29557275753997514,0.9632231124548941
TCGA-DX-A23U-01A,0,0,0,0,0,0.12521181593772765,0.005820607954830664,0,0.00858226424756774,0.024639284401546977,0,0.0001,0,0.3890665198937005,0.07694100981451911,0.36292326865244,0,0,0.0067523571293771865,0,0,0,0,0.6140564425189615,0.7904274681397396
TCGA-DX-A23V-01A,0.005274238952203478,0,0,0.04710622504982772,0,0.154043822035631,0.0003,0,0.013732905985668424,0,0,0.00444101069208955,0.1861062360008972,0,0.07483118862373675,0.4906033308211373,0,0,0.023600698033800382,0,0,0,0,0.35376631361477245,0.9423042796315396
TCGA-DX-A23Y-01A,0.010028619723030435,0,0,0.3575270605055574,0,0,0.032067288307592416,0.014825151880013734,0.03811456843048711,0.04370856867068858,0,0.002208745204551207,0.007670046220729275,0,0.13703984756300625,0.3479456852359822,0,0,0.008864418258361447,0,0,0,0,0.38569918443880025,0.9278295604416467
TCGA-DX-A23Z-01A,0.021505618094220278,0,0.0013057722544615729,0.10821379849432453,0,0.15959319501255703,0,0,0.02792752575844439,0,0,0.043682342625627806,0.043895800603354344,0,0.09633494398883122,0.3040758027605476,0.011725510745211097,0,0.1817396896624202,0,0,0,0.06,0.1626994972468463,1.0169077559973287
TCGA-DX-A240-01A,0.027267648949027456,0,0,0,0,0.0857876175271846,0,0.004533268738727888,0.019924175788394255,0.012289341774828134,0,0.0441157249331341,0,0.45810817563802625,0.007839729999651228,0.2997042869151022,0,0,0.04043002973592393,0,0,0,0.03,0.21801669525111417,1.0409981659509024
TCGA-DX-A2IZ-01A,0.1003922844955164,0,0,0,0.037481093100161324,0.260891985424888,0,0,0,0,0,0.09943906097350007,0.05714258851381009,0.28791328268059024,0.051009996145524594,0.08096160428833878,0,0.006996645367736851,0.017771459009933623,0,0,0,0.2,0.0664452414283259,1.06995994909405
TCGA-DX-A2J0-01A,0.22770317889668362,0,0.16008867694806073,0.0808304091541403,0,0.07906003778967319,0.006466029160735158,0.005479897086983795,0.011680056900239565,0.01246250172943752,0,0.05409510333838962,0.0020526289356501003,0,0.0249656626056181,0.22419721291120662,0.004488677356861692,0,0.10397880007413665,0,0,0.0024511271121833355,0,0.45848126245222787,0.8886318198544924
TCGA-DX-A2J1-01A,0.01615069880527896,0.004981412782925488,0,0.07298609590788245,0,0.14422760818972916,0.019774248489893797,0,0.026550783476155984,0.0001,0.005573337750409647,0,0.08055074259373851,0,0.02553812056493059,0.5120794967258563,0.0018241257379538328,0,0.08801770247850255,0,0,0.0016370115310082001,0,0.4430531474294509,0.8963877582967059
TCGA-DX-A2J4-01A,0.05494832005132018,0,0,0.05249165660825761,0,0.07586402011623232,0,0.005223862003958973,0.013555193612163518,0.0052156280218261615,0,0.029424952861260623,0,0,0.03859531427781,0.1861794909252619,0,0,0.5385015615219086,0,0,0,0,0.5266240063361111,0.8505435936874631
TCGA-DX-A3LS-01A,0.027637610400379237,0,0.002995036728130253,0.11704300502287114,0,0.253160964619762,0.020557529125180656,0,0.027320732584500313,0,0,0,0.017384305669660816,0.03615392699498732,0.12157790068018312,0.3441046898863811,0.006755446993368147,0,0.021067514342999766,0,0,0.004241336951596075,0,0.3833893854133167,0.925232072924216
TCGA-DX-A3LT-01A,0.011123661931061856,0,0,0.07941925225546968,0,0.07382730595530917,0,0.01390585935197145,0.01123367435418603,0.01390803012562243,0,0.011948485343492413,0,0.13085987437937,0.0442176572434063,0.3514661540650694,0,0,0.2580900449950412,0,0,0,0,0.6344589778429108,0.7956888008613384
TCGA-DX-A3LU-01A,0.012944674235583367,0,0.007015228102017865,0.16561289237310262,0,0.042298303169546525,0,0.02580465785039721,0.02772017249803676,0.048461575238577415,0,0.08132326228234718,0.05003238129692202,0.047340641589308084,0.1480750863664294,0.29072731963755366,0,0,0.052643805360177834,0,0,0,0,0.3127934972868093,0.9608849846579858
TCGA-DX-A3LW-01A,0.1234610853941286,0,0.01383161628171852,0.051158556130263114,0,0.12994961990559042,0,0.013827751561615313,0.003531980684330118,0,0,0.03793148341101418,0.03057298536008991,0,0.037414763160863264,0.38751817971043684,0,0,0.17080197839994976,0,0,0,0.06,0.14163444324165067,1.024051387790698
TCGA-DX-A3LY-01B,0.009060214626077097,0,0.004492113970216733,0.01962861303706783,0,0.1330842947438083,0.01126688295045203,0,0.013653646957118518,0.011859647764156565,0,0.012448187193464749,0.01680223905463919,0,0.01129059202531269,0.6645304001535903,0,0,0.07526134526343888,0,0,0.016621822260656994,0,0.3556186757453618,0.9464128483733667
TCGA-DX-A3M1-01A,0.002113731999409367,0.0031460093043105806,0.0001,0,0,0.029025600442442446,0.002512523399840812,0.00490315865592693,0.028034209585811334,0.03125032534027736,0,0.01020219140450968,0,0.41445955609035734,0.06840659659239044,0.3870761579257418,0,0,0.018815501503778313,0,0,0,0,0.5834355925897523,0.8125416519020128
TCGA-DX-A3M2-01A,0,0,0,0.16770888058287597,0,0.0001,0.03307686929500876,0.006878505255887973,0.022362619493241687,0.013097356080256268,0,0.007000906164795795,0.048992425909824444,0,0.05861788904479882,0.5746873564290044,0,0,0.06747549082590991,0,0,0,0,0.3572909830602205,0.9405800661007558
TCGA-DX-A3U5-01A,0.012677486996304232,0,0.0001,0.03272400578843957,0,0.07255078466164215,0,0,0,0.020726404448453587,0,0.02166730700045242,0.1660812259828712,0,0.041147763844670136,0.5914627839521843,0,0,0.040609599919401024,0,0,0.0002,0.02,0.2569754258404204,0.9971860860564868
TCGA-DX-A3U6-01A,0.09188828221418277,0,0.007788238721021733,0.3701358428396644,0,0.059601668933038,0.03130771006958377,0,0.026538628196701747,0.021641401808688693,0,0,0.019752478679912165,0,0.12261368516666268,0.19948980207310502,0.01003401746374783,0,0.034470491267290446,0,0,0.004737752566400807,0,0.48396029210786873,0.8743899713264187
TCGA-DX-A3U7-01A,0.08826454976038726,0,0.01681137083774096,0.06012231180209174,0,0.23865522878523823,0,0,0.010283457609178539,0,0.032604837592007295,0.08730669980185962,0.05352205404009809,0.06358406548107409,0.05920617734308211,0.22185161757034513,0.008038224960808136,0,0.05974940441608883,0,0,0,0.06,0.1443402082048908,1.0251419447679375
TCGA-DX-A3U8-01A,0.002273285089432736,0,0,0.06970730190793609,0,0.18254527088771363,0.0048670904288121465,0,0.013871108854097657,0,0,0.006416451300078026,0.10547002488680421,0.008304079133183066,0.07874344135457059,0.4799561731447549,0,0,0.04742140847897326,0,0,0.0004,0,0.32115320494690675,0.9557017956504574
TCGA-DX-A3U9-01A,0,0.011822795167733142,0,0.05764709060671063,0,0.16884311753893777,0.0025670211363181743,0,0.05551865139585743,0,0,0,0.009262339344746243,0.2977282186777484,0.007186732463432884,0.20370564709080877,0.008144453742632706,0,0.14623625577923358,0.030710894937320456,0,0.0006,0.04,0.18393913463120132,1.0224956606297197
TCGA-DX-A3UA-01A,0.002896545611276866,0,0.0006,0.016263597509366245,0,0,0.0001,0.020663605767290295,0.03669558162947557,0.02313528830543895,0,0,0,0.5621892285933334,0.04806644229207764,0.23733413431352632,0.0034053209405912233,0,0.04859844973429329,0,0,0,0,0.627431876562358,0.7794400781864587
TCGA-DX-A3UB-01A,0.029256617387919452,0,0.017962355002432304,0.04240032927632788,0,0.26177870270004694,0,0,0.004557465679147853,0,0,0.050840190680273165,0.07161936701366974,0,0.03185197180943959,0.3377102323412671,0,0,0.1520227681094759,0,0,0,0.18,0.07344173341612788,1.0493340382961058
TCGA-DX-A3UC-01A,0.05125582123082266,0,0.015250921485201976,0.09290751818755591,0,0.16664189791647496,0,0.012351752149193377,0.012601798136448418,0.004204346694239061,0,0.04421468444007342,0.05247112088244955,0.04121683409902419,0.050242075509570855,0.21458412331510487,0.08667806593458961,0,0.15537904001925112,0,0,0,0.07,0.13693701025409546,1.0191457635468149
TCGA-DX-A3UD-01A,0,0.0021220665522499634,0.014539154902803787,0.08628686512861132,0,0.17467588605556492,0.011611274628778928,0.012055311412749502,0.0451693845962657,0.020087725685840593,0,0.012983286322315792,0.004621989512637988,0.031877678930089776,0.09725216445498626,0.2788973348439868,0.061507465863003374,0,0.14631241111011528,0,0,0,0.03,0.2067625608010069,0.9975009514335478
TCGA-DX-A3UE-01A,0.09214897375250479,0,0,0.026015996142692253,0,0.11898181998215485,0,0.029088739251551973,0.041516006685997774,0,0.04841603302867662,0,0,0,0.06163633125056789,0.3576026849314258,0.18567800062100503,0,0.03859444081845934,0,0.0003,0,0.2,0.06658821971166488,1.054733150303702
TCGA-DX-A3UF-01A,0.014351926590143805,0,0.0003,0.09771104764415421,0,0.1029108178901576,0,0,0.01958390017841574,0,0.0003,0.035595190830654114,0.02179735108667062,0,0.3438171231164691,0.1998674986534757,0.021828744590067714,0,0.14194610468182647,0,0,0,0,0.4953582945473569,0.8750299627365792
TCGA-DX-A48J-01A,0,0,0.0002,0.058683061112498394,0,0.20253067224652496,0,0,0,0.039822568394668044,0,0.015534188455137104,0.0046372849098320484,0,0.03862531282212895,0.16947097022876972,0,0.001,0.4695010613110748,0,0,0,0.02,0.24569190664090326,1.0051890867350008
TCGA-DX-A48K-01A,0,0.00269873641709489,0,0.059310603341394215,0,0.10514851724236174,0,0.027817963556892533,0.005196176880412213,0,0,0.008875495781361606,0.056819200241482355,0.08752033834175697,0.032825056707934196,0.5071846901101168,0,0,0.1066032213791924,0,0,0,0.06,0.1521793069293233,1.037286676893673
TCGA-DX-A48L-01A,0,0.03095547615241518,0,0.06860311907877198,0,0.14716847020741985,0,0,0,0,0.02869848863981968,0.009486037065364543,0.043564807606987645,0,0.1341826488829731,0.3430575255898846,0.1237009505170626,0,0.0705824762593008,0,0,0,0.19,0.07228419891846671,1.0578280842824224
TCGA-DX-A48N-01A,0.043080202723819544,0,0,0.019251841039441258,0,0.11652730692569642,0,0,0.005895972386236247,0.014792832238687116,0,0.03435162728625972,0.036917087645188966,0,0.050270142581013096,0.5627508934712773,0,0.0033909379769931926,0.11277115572538712,0,0,0,0.19,0.07213583044528717,1.070316097078915
TCGA-DX-A48O-01A,0.011505473896843024,0,0.0024675371762059553,0.18208880363915156,0,0.12584163446907323,0,0.001004969430503004,0.005007191186528198,0.006839033762789204,0,0.06630754031728234,0.014364503036872709,0,0.12903687503408617,0.11627000213224627,0.03455923074058825,0,0.30470720517783006,0,0,0,0.01,0.2764126055808978,0.9785043162848676
TCGA-DX-A48P-01A,0,0.00964225221106033,0,0.1450143451138034,0,0.10521859843512546,0,0.031124752126619377,0.004001107655599148,0.0036082873498184337,0,0.022386132477269664,0.06439880398159072,0,0.0927978646154775,0.31996240205344156,0.02965275528832494,0,0.1721926986918695,0,0,0,0.06,0.1543367986589729,1.019797678122767
TCGA-DX-A48R-01A,0.044581965981623076,0,0,0.020884092758693202,0,0.303479683329734,0,0.01540901399816354,0,0,0,0.06269337805495322,0.016114864027674602,0.008366022919912007,0.04134411134492353,0.3475785774377402,0,0.055510838246065806,0.08403745190051684,0,0,0,0.36,0.03760298905112019,1.0676976831436191
TCGA-DX-A48U-01A,0.018736119503442686,0,0,0.082593141288605,0,0.23269424261136992,0,0,0.007772123181416826,0.008946722016901405,0.002892126824136204,0,0.007736748727271399,0,0.03937616193727109,0.3110509407442081,0,0,0.2882016731653774,0,0,0,0.13,0.09245461563213395,1.0515292890757697
TCGA-DX-A6B7-01A,0.005265293878332976,0,0,0.10151368778215314,0,0.09289159356039892,0,0,0,0.009337671551720255,0,0.019755332737243447,0.04287355519077916,0,0.039137494580487715,0.2975622961372654,0,0,0.391663074581619,0,0,0,0.06,0.1682242991005051,1.0302915889482869
TCGA-DX-A6B8-01A,0.002344526772288662,0,0.002190046117022117,0,0,0.20319983225356178,0,0.03132300976700746,0,0,0.012751196916908297,0.06579820051475219,0.009884439123531942,0.3745344885596601,0,0.23125075676319093,0,0,0.06672350321207654,0,0,0,0.13,0.09127883600409516,1.0794711327534228
TCGA-DX-A6B9-01A,0.013107334213079079,0,0,0.03330813354198771,0,0.2643256235123205,0,0,0.0018595344032116725,0,0,0.09066633868025005,0.023562953835356396,0,0.03415875556597841,0.1803976214662719,0.013764692990609303,0,0.344849011790935,0,0,0,0.03,0.1982717161109083,1.012721501621542
TCGA-DX-A6BA-01A,0.002021818622607238,0,0,0.03438036133650366,0,0.20769637281490402,0,0.013629875370875118,0,0,0,0,0.3457575886398117,0,0.008451881955632429,0.23699058516089727,0,0.0013338878164544292,0.14973762828231418,0,0,0,0.08,0.11366082355412961,1.045090507705642
