Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA-2G-AAEW-01A,0.05414792409256357,0,0.007142951700912416,0.03499363177261179,0,0.12860154033002996,0.017404190083737794,0.004666938208188539,0.05243689272537563,0.006974377048019468,0,0.018902865098319482,0.005253635567478235,0.42900900205061365,0.15499250746809218,0.05281322228916735,0.002889530717337446,0,0.029770790847552464,0,0,0,0,0.7254953829251523,0.7157735522164848
TCGA-2G-AAEX-01A,0.15503506696373198,0,0.07793034143516703,0.1903632298630427,0,0,0.06958571752012493,0.12224893778483445,0.04632097369958896,0.019203728404906653,0.058860616884851474,0,0.008970009501073278,0.049784729894876756,0.08707174839396235,0.03477127234801702,0.05549028744888073,0,0.024363339856941616,0,0,0,0,0.4295868912764473,0.902739908515112
TCGA-2G-AAF1-01A,0.21283926463587108,0,0.008554067872387482,0.05112869389744033,0,0.17007562790962297,0.021015031703326144,0,0.05908681867009123,0.019601317219572065,0,0.02764223089993492,0,0.2175907660686231,0.12101633208992019,0.053518363299587916,0.0003,0,0.03767012335059733,0,0,0,0,0.46330688610590015,0.8853905112310737
TCGA-2G-AAF4-01A,0.2469400884827743,0,0.006843543117315849,0.17208345751274678,0,0.10817832332855311,0.06709211583204171,0.052377779149916204,0.028916898328751293,0.03336148594068523,0,0.025543303555795194,0,0.07573204134810606,0.07734936710784439,0.06170442569286765,0,0,0.04387717060260229,0,0,0,0,0.4271056088643602,0.904555970289063
TCGA-2G-AAF6-01A,0.12016511746292204,0,0.011847827149182682,0.16035366709522517,0,0.04194685772480837,0.01732318626064188,0.026317891256510666,0.04794511323918879,0.010074367590340853,0,0.05492942644776635,0,0.3380426633157998,0.09484624969254322,0.03909898349667064,0.012168275825151459,0,0.02494037344324812,0,0,0,0,0.32857864981285717,0.954668367268664
TCGA-2G-AAF8-01A,0.15599251158447247,0,0.07014563565500172,0.21556613902770724,0,0.020217478032227516,0.04948500302727849,0.13207630275575943,0.033058955671619976,0,0,0.01800032577924248,0,0.1382186021720543,0.07090164281463196,0.052848546726719806,0.018239120160689386,0,0.02524973659259511,0,0,0,0,0.40958745768511085,0.9127137272284908
TCGA-2G-AAFE-01A,0.15513050453556382,0,0.018605905184638807,0.06910973919918004,0,0.07012996985492728,0.016030097429149192,0.04423485835429066,0.05922178850993545,0,0,0.052621822591343154,0,0.3543812503360654,0.07593714104148806,0.027641576150104763,0.015096742694826998,0,0.041858604118486485,0,0,0,0,0.4664530549571058,0.8838187820135405
TCGA-2G-AAFG-01A,0.13221843231632688,0,0.049352565760162455,0.17287048407840028,0,0.01933127781010471,0.0478140935604404,0.039544508423409834,0.033918217590142206,0.009169898479684815,0,0.044232750644919626,0,0.2855398496359679,0.08077970897568557,0.03441545958732568,0.01392934845518019,0,0.036883404682249495,0,0,0,0,0.4486688776258189,0.8929048960781057
TCGA-2G-AAFG-05A,0.1473353851130012,0,0.03758500304794824,0.17852386866775483,0,0.0728639421713526,0.0473741696273765,0.03546273965457529,0.05776478215540853,0.004171429306548218,0,0.04215422276576145,0,0.23891032130003848,0.07466876790347127,0.026921301258142977,0.01412722228838605,0,0.022136844740234363,0,0,0,0,0.442867780687507,0.8958241686756974
TCGA-2G-AAFH-01A,0.08907833782453686,0,0.05914000114501417,0.20679883915124408,0,0,0.07582232833632793,0.05081961383701393,0.042028231793654114,0.018152971285041588,0,0.010174019990568278,0,0.240373689335623,0.09197276256679163,0.08221400485987472,0.010704956744921126,0,0.022720243129388553,0,0,0,0,0.40417621146296434,0.9145203263026652
