Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA-3G-AB0O-01A,0.02496864529443454,0,0.018347755547572963,0.16712607965230222,0.20522154944641105,0.11900901694587242,0.0351855941376318,0.13950331267691193,0.1371696502630663,0,0.007649904550283483,0.001645980979275325,0.017004871148910673,0.0001,0.011989344462198412,0.012031236142311426,0.08975233507253216,0,0.013254450431648369,0,0,0,0,0.5074408840799952,0.8642281848015877
TCGA-3G-AB0Q-01A,0.007529362363677631,0.014219716678230146,0,0.2774215994137084,0,0.2083852438506912,0.0035244070291151944,0.012506090392736792,0.0013542525230967153,0,0,0.02301645362762478,0.04966480223336609,0.03851622632521859,0.014241946800538332,0.24388382015661186,0.05754537663359618,0,0.048190701971788076,0,0,0,0.05,0.15216785822248474,1.0319726963306441
TCGA-3G-AB0T-01A,0.07354797813723905,0,0.03788715663541323,0.3569536738680475,0,0.01511527079465826,0.04919126367515173,0.24524692403463852,0.08149344402946954,0,0,0,0.01900080403238963,0.008956345713030401,0.010111823473904298,0,0.09002295537354314,0,0.012472360232514744,0,0,0,0,0.4621212716441881,0.8917462447267775
TCGA-3G-AB14-01A,0.015573204445554807,0,0.00886752319595989,0.4472887510110005,0,0,0.013258369516290653,0.08153300191084803,0.04553630314322922,0,0,0.015160129795566695,0,0.017846339344752653,0.0900636019417884,0,0.20962178870131068,0,0.055250986993698445,0,0,0,0,0.41351958143697637,0.913903187266378
TCGA-3G-AB19-01A,0.00960996073311307,0,0,0.41657443649077897,0,0.1273356390890111,0,0.03652345496825927,0.05989695279132274,0,0,0.0487356586427032,0.00246410012838944,0.0391747694527323,0.05699755514692579,0.09204985921412903,0.05899619254331618,0,0.051641420799318896,0,0,0,0.01,0.24213651905755657,1.0117362197358177
TCGA-3Q-A9WF-01A,0,0.008519941252084084,0.009879259813030047,0.25585811511010814,0.214383114005933,0.14120463622553947,0.01859973987869371,0.09007123820017796,0.12791336597428268,0,0.009007141121763387,0.0004,0.022237250795523886,0,0.010376240115903351,0.004720471854317537,0.08262114642564292,0,0.004216743158548286,0,0,0,0,0.5118911454156939,0.8645354470222735
TCGA-3S-A8YW-01A,0.007448460241271497,0.015119594911832858,0.010101587953354255,0.13456848862264634,0,0.13188209980296203,0.09084756706724478,0.0392417848340443,0,0,0.08579407024570404,0.001032390077608034,0.012666879264853156,0.1025030971407356,0.016001619142216764,0.13702051894069056,0,0.1833001584842436,0.0320783792292447,0,0,0.0004,0.05,0.1789235163407886,1.0133970490956872
TCGA-3S-AAYX-01A,0,0.006254615291948826,0.011242087524425565,0.25863034335531576,0.18132981875625812,0.2211320897965721,0.019703199138983284,0.032392339920422224,0.11871624951242607,0,0.014570300534125814,0.006110726450923067,0.026858474280057314,0.0002,0.009687302984252048,0.009149487466646884,0.0840593895391715,0,0,0,0,0,0,0.4894615404009555,0.879247207020414
TCGA-3T-AA9L-01A,0.0033567944311304774,0,0.027055828216611386,0.3802042211640322,0.07413889368861072,0.09167502053866902,0.027648118942926073,0.0908944348632026,0.12997219652354317,0,0,0.01633858144431201,0.001878386318269446,0,0.01367921529541677,0.04111185944152283,0.08510720951338734,0,0,0.009816105027239673,0,0.007123134591126376,0,0.4878621019348709,0.8774586431586195
TCGA-4V-A9QI-01A,0,0.02116313038850619,0.022559048830407786,0.3637992487214606,0.05536920297839975,0.10163639666929374,0.01628082412256839,0.11966300163516415,0.1407648150502919,0,0,0.03849512105312372,0.015821564371617726,0,0.014066406530918367,0.02273648768547041,0.06333879167875059,0,0,0,0,0.004305960284026691,0,0.3625361037767823,0.961867436446495
