Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA-2E-A9G8-01A,0.01271718551511299,0,0.07101619626853115,0.08870210554181644,0,0.20497602165376166,0.010836237785371837,0.12287332592678708,0.026095936188123916,0.07315738760698895,0,0.032766405302420615,0,0.11748676156099376,0.10004998823482845,0.04034724280422672,0,0.056620970717268015,0.04235423489376832,0,0,0,0.02,0.2208135249719751,1.0046296381624513
TCGA-4E-A92E-01A,0.06802597848576666,0,0.010207523975395235,0.13911070263460112,0,0.12773340910918968,0.10037037735752144,0.1319432167673879,0.016322529976951782,0,0,0.037020837204759544,0,0.14528236889516818,0.12912045879021503,0.06334197517006852,0,0,0.029868480236392995,0,0,0.0016521413965818043,0.05,0.17814686023155482,1.0224328006407934
TCGA-5B-A90C-01A,0.13379587790220668,0,0.02527034570896427,0.05273310131982286,0,0.11009519743264204,0,0.06502613862612064,0.003994043396900823,0.011514306893806125,0,0.05762560925741651,0,0.1914577474069784,0.08295471488490264,0.13989197989535548,0,0.08437067021222568,0.04127026706265785,0,0,0,0.09,0.1309620477806324,1.0346216922690603
TCGA-5S-A9Q8-01A,0,0,0.019169947512345714,0.0916500745048081,0,0.0004,0.052379411116831774,0.13438947156228728,0.04922210013734282,0,0.00434258085271385,0.07602007301367306,0,0.41441074413773343,0.03106538467133808,0.06730202923749662,0,0,0.05965918440107889,0,0,0,0.06,0.15992207845910114,1.042183788195802
TCGA-A5-A0G1-01A,0.025743133380635656,0,0.0005,0.3961221200162683,0,0,0.12345615404218045,0.06331606027358654,0.05205713407460861,0,0,0.0793601937840298,0.017455633542376888,0.012572664657950462,0.08643134582186326,0.06398212854390085,0.009592013758670533,0,0.06939153063135933,0,0,0,0,0.35532806671323924,0.9488957574206955
TCGA-A5-A0G2-01A,0.04320756257031047,0,0.017174035367046335,0.12838854407616473,0,0.11584146441603924,0.044362803791492905,0.06545217684993947,0.035923025250995166,0,0,0.18920730762185695,0.006077522582773647,0.08895524200938607,0.09605956987913646,0.08957259315376186,0.021049397662272706,0,0.04272477172968237,0,0.009988314755888678,0.006015668283252986,0.03,0.18131042348018092,1.0306285880183197
TCGA-A5-A0G3-01A,0.26496905533557047,0,0.038739431330098606,0.09946148544625788,0,0,0,0.026600314502849942,0.04995804102431165,0,0,0.05859169445024779,0.006789555060371547,0.17737191769171934,0.03108228802620155,0.15169333118629774,0,0.09441771405063501,0.0003,0,0,0,0.02,0.26342758652161147,0.985399798782582
TCGA-A5-A0G5-01A,0,0,0.048276698733615016,0.32378695939231067,0,0.027325881328452595,0.09227499225011548,0.03858981213935317,0.05305554142373505,0,0,0.02602848657866189,0.024709323550273766,0.17091826854671197,0.049691223015788134,0.1453428130409822,0,0,0,0,0,0,0.01,0.33943964676869937,0.9474409844861729
TCGA-A5-A0G9-01A,0.002068479792964962,0.022634919409233227,0,0.036600437202156735,0,0.16514878247107292,0,0.031562131980804244,0.06347757275003364,0,0,0.10056255462286974,0.0012601614721106638,0.18862502563711278,0.03588389375915393,0.2664736263869476,0.06609967254081679,0,0.01960274197472278,0,0,0,0.11,0.10895517390804496,1.0504133044779478
TCGA-A5-A0GA-01A,0.057500655667032455,0,0.045751135710972016,0.26540903746405253,0,0.04572634638963869,0.051710170397670854,0.17805816354524184,0,0,0,0.030457407109807846,0.01608740537586716,0.07464862756512816,0.05565871973961706,0.008731164188234886,0,0.13118594473196052,0.025557667967899596,0,0,0.013517554146876406,0.02,0.21700741187931308,1.0094062500252219
