Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA-RZ-AB0B-01A,0,0,0.012922163826340198,0.3415956351101261,0,0,0.07965971361672015,0.06214268082414231,0,0,0,0.02092391696501991,0.004307585994141699,0.07145968385009574,0.06497832419958983,0.2198616742387077,0.07449618197634225,0,0.04765243939877412,0,0,0,0.75,-0.0131,1.0940353674101242
TCGA-V3-A9ZX-01A,0.006608621165524508,0,0.00314490112558073,0.3168932323794322,0,0,0.04554339806610367,0.03453750715643593,0.058913714468229406,0.1349413070131703,0,0.029674606181658892,0,0.010491540960261222,0.12424622623488826,0.13600275603064296,0.019753175121839998,0,0.0792490140962319,0,0,0,0.35,0.03766571194474337,1.1039909084389008
TCGA-V3-A9ZY-01A,0,0.002487529767670004,0.011007259527473463,0.17518465466681,0,0.15022517339460312,0,0,0.05818705443187142,0,0,0.06820107059236835,0.040705054941769174,0.006470393294321608,0.0036864369246575783,0.3613458968980546,0.017863030801815283,0,0.10463644475858544,0,0,0,0.25,0.05792720963475058,1.0656377447635466
TCGA-V4-A9E5-01A,0.0030545551746639543,0,0.02425939533167732,0.0012857971297976609,0,0.08680702319871202,0,0.0031256815068414047,0.015486540032449073,0.005272501238745978,0,0.03254791383880858,0,0.21644027534639845,0,0.3643080377069862,0.0034614119935447237,0,0.24395086750137465,0,0,0,0.08,0.1057970349444349,1.062794856050709
TCGA-V4-A9E7-01A,0.05548216399050796,0,0,0.19162132314328906,0,0,0,0,0.004462410593596018,0,0.022505371159189907,0.02662655722841133,0.012553152244405584,0.069858472194832,0.009261571294352691,0.5546249698839496,0,0,0.053004008267465826,0,0,0,0.09,0.10391338470904385,1.0627478596616442
TCGA-V4-A9E8-01A,0,0.027758630052587063,0.0728184420750654,0.13085676618429684,0,0,0.019439612704540355,0.012104739233086331,0.03853224153579989,0.0058988360039513065,0,0,0,0.32281441283803697,0,0.3174753629427143,0.00838134832995214,0,0.043919608099969434,0,0,0,0.02,0.25059816104450255,0.9987939951415479
TCGA-V4-A9E9-01A,0.0497604822004214,0,0.02583546973517802,0,0,0.09610929469565763,0.0025994422636431724,0,0.003911088064463647,0,0.044398159680028366,0,0.04475038714119749,0.1639166409300536,0.01476434924503267,0.19830754622787422,0.010899987387834872,0,0.3333917815648139,0,0.011355370863800993,0,0.16,0.08262361404897403,1.0594592071446536
TCGA-V4-A9EA-01A,0.012862279402503415,0,0.04538866919962294,0,0.028133581766616657,0.007685110051302236,0,0,0.04782412553828061,0,0.06113524767020154,0.03747730474321419,0.04622153318770514,0.24467767556535153,0,0.15287433984191118,0.005606083879915616,0,0.3101140491533749,0,0,0,0.07,0.11143304000033478,1.0516958149790663
TCGA-V4-A9EC-01A,0.0048185600964408505,0,0.04213090314256942,0,0,0.10353440630717588,0,0.011548634502673358,0.010867356413608703,0.013471428525233736,0,0.014741792306691315,0.017493712015175723,0.23127948455151842,0.018598500318476662,0.22431246292568457,0.001315184422192601,0,0.30588757447255877,0,0,0,0.06,0.13095899200316158,1.045019503132541
TCGA-V4-A9ED-01A,0.0033495783421596016,0,0.004435805096134408,0.1799164700501974,0,0.003128946318148896,0,0,0.021422103210029787,0.016000400781719368,0,0.05848574546882167,0.06387177250879966,0.01213456981219644,0.024704387543769586,0.39922037406139743,0.0034935962381684037,0,0.20983625056845734,0,0,0,0.25,0.056199528051325956,1.0658950534406284
TCGA-V4-A9EE-01A,0.008406125737095637,0,0.010426911228498568,0.2879976480927245,0,0,0.005899798440106154,0.03156275212830245,0.03290237457505894,0,0,0.03524291753893417,0,0.2684252942894578,0.04077414511358787,0.2620485360002655,0.008516035719749447,0,0.007797461136218948,0,0,0,0.21,0.06813064060936509,1.081133969619414
TCGA-V4-A9EF-01A,0.011774403630804862,0,0.0041028507984521324,0.10281906847296596,0,0.019102273842207786,0,0.01727108081906815,0.030705025949162,0,0,0.0038432500614014606,0.05048275160824787,0.14685310471021717,0,0.40297115265591454,0.0007,0,0.2094103539473133,0,0,0,0.17,0.0765912317066523,1.0675899969598839
TCGA-V4-A9EH-01A,0,0.027252514242790786,0.016936566582258696,0.30332212054011914,0,0,0.0031381556286269544,0,0.04099487747265202,0,0,0.06630447055603277,0.032177230025066894,0.10626024385124741,0.0664010485880961,0.09676626278334505,0.0021358823614200583,0,0.23831062736834407,0,0,0,0.25,0.057154682973142405,1.0678237116064946
TCGA-V4-A9EI-01A,0,0,0.010345450572158273,0.18020379085594887,0,0.02449322637168934,0.0007,0.045288102148854724,0.006108439093483196,0.010368368272546448,0,0.006768872611330934,0,0.30395428959888915,0.0442782641138666,0.33733163394018056,0,0,0.030168441957473223,0,0,0,0.04,0.1396543673736572,1.0547935319367225
TCGA-V4-A9EJ-01A,0.016343387175924148,0,0.0010169910014889976,0.15974284777040523,0,0.16920587068248436,0,0,0,0,0,0.029536164819445352,0.023526968199367164,0.12171657934474457,0.01870184250187114,0.42551367525749495,0,0,0.03469567324677411,0,0,0,0.21,0.06826087222983984,1.0719858826412272
TCGA-V4-A9EK-01A,0.07950386537914238,0,0.18644926041338783,0.13804216240938072,0,0.013701317875035389,0,0.028291135747009828,0.016486234091498925,0,0,0.03203175592929212,0,0.0369397873275259,0.03173957215045186,0.3941942594104413,0.002817063621912509,0,0.036569016002606945,0,0,0.003234569642314332,0.04,0.15893618457392442,1.0349250284237745
TCGA-V4-A9EL-01A,0.009633305926431076,0,0.01622416310815279,0.32955112902173794,0,0,0.06561837141557032,0.04379166595087781,0,0.030148618727250893,0,0.059029492631049625,0.0004,0,0.08939231223413793,0.241200539987212,0.017223909971207277,0,0.0978222994432648,0,0,0,0.13,0.09236240311781956,1.0582094423586867
TCGA-V4-A9EM-01A,0,0,0.013442078836786147,0.06580386212715844,0,0.1830344822292754,0,0,0.06919378399646597,0,0,0.0007,0.027905735845000963,0.17855272058610663,0.019348730909695487,0.2241418105204373,0.001,0,0.206896852950944,0,0.009976340617551802,0,0.15,0.08689017926814739,1.050839644581542
TCGA-V4-A9EO-01A,0,0.004033529116329817,0.01315369422882403,0,0.04290537637784102,0.18037890168420895,0,0,0,0,0.10438387158087394,0.05301609903768861,0.04054242479775502,0.04343879151265731,0.01965129039293751,0.26821314878336616,0,0,0.22699926428243905,0,0.0032836082050785066,0,0.58,0.008188764352021535,1.0796766215037432
TCGA-V4-A9EQ-01A,0.00344415358533219,0.0030827469308500124,0.004449400025857134,0.08591306296818443,0.02463131806202681,0,0,0,0.0001,0.01804113897038942,0,0,0,0.1375299387233911,0.02015051362654007,0.549513214426231,0.010586383080165728,0,0.14255609790622173,0,0,0,0.17,0.07727813787004843,1.085497546315863
TCGA-V4-A9ES-01A,0,0.006462479723141697,0.03766048781957505,0,0.08068807025879783,0.04070091380015262,0,0,0,0,0,0.07810987306255004,0.06619709820192572,0.2812940256742429,0.00690306818810888,0.18076018832771926,0,0,0.221223794943786,0,0,0,0.24,0.061240808291938266,1.0713668932704143
TCGA-V4-A9ET-01A,0.01404062724230071,0,0.022253667953370224,0,0,0.10539651672899818,0,0.004890550190635322,0.017349098526060838,0.02171929122764846,0.007122899318383394,0,0.06133587166536391,0.14120316105442407,0,0.30830510741827816,0.012649003721266618,0,0.2650625191867335,0,0.018671685766536616,0,0.07,0.1109624770760911,1.0468977672228008
TCGA-V4-A9EU-01A,0,0.0040789935802108815,0.0002,0.08617577113387818,0,0.10598619262015012,0.007196701199235593,0.0038883547010380983,0.0020237675463613543,0,0.008544350742223547,0.016450673391040466,0,0.16450865856667332,0.041027714247688266,0.5245524754171286,0,0,0.0354123197870746,0,0,0,0.15,0.08402304035359946,1.0818267601037526
TCGA-V4-A9EV-01A,0,0,0.013739580322023496,0.5300819571172045,0,0,0.016113783161124995,0.023484753032399656,0.05543534294107434,0,0,0.07434972017687254,0.007412487647640819,0.0010573751330401418,0.07729824913701268,0.11113782307678707,0.022588110887563368,0,0.06730081736725632,0,0,0,0.04,0.15756000064578124,1.0646411375032236
TCGA-V4-A9EW-01A,0.03458079261642438,0,0.01854577492211755,0.09008713892347901,0,0.08400020175354765,0,0,0.005200536325178483,0,0,0.051777145282898285,0.050659197079709554,0.14419030400197907,0.01741139955093467,0.4577718164713774,0,0,0.045775693072353935,0,0,0,0.17,0.0777242774514704,1.0697126211468133
TCGA-V4-A9EX-01A,0.008172061826861827,0.0031238495859094123,0.010711360336072676,0,0.015069816474434927,0.001995740302290861,0,0.0013661078108816703,0.006475247001356888,0.007059574768595113,0.0899613672057116,0,0,0.4595074416510853,0.014937816978439985,0.32088408402500296,0.0045866152670134535,0,0.05614891676634335,0,0,0,0.04,0.13271652160037078,1.09276959767423
TCGA-V4-A9EY-01A,0,0.05575224824024907,0.04825396832671858,0.01714052799085076,0,0.00855166639499133,0,0,0.0030618555548888237,0.013925735262134878,0,0,0,0.13839997897476541,0,0.48217430412884665,0.0031100272735439393,0,0.22962968785301058,0,0,0,0.04,0.14812418939633087,1.0482778506220254
TCGA-V4-A9EZ-01A,0.026118186809269927,0,0.006264508221148319,0.04435937645670042,0,0.07699880653878348,0,0.007068292968399826,0.04373881057333035,0,0,0.061614803326884425,0,0.32027663585632915,0.02873832313783906,0.16769983763163257,0.0032780185831883485,0,0.2086585850842658,0,0.005185814812228328,0,0.07,0.11218329853902488,1.0532581090850548
TCGA-V4-A9F0-01A,0,0.0009,0.07455146198530042,0.1686695009021898,0,0.10947298529133895,0.009833067525413906,0,0,0,0,0.006768978130323792,0,0.10268596235043992,0.023545335419904723,0.4395788000839995,0.04005246303356747,0,0.023917432688897764,0,0,0,0.04,0.16712187669628936,1.025307877898571
TCGA-V4-A9F1-01A,0,0.01420226423613961,0.002417256061880363,0,0,0.09448543701114617,0,0.0017120118780892344,0.002132128278268736,0,0,0.021270972492753427,0.02451899880566583,0.16644957276841688,0.026126908782154096,0.5115985842332124,0.008286009626270217,0,0.126799855826003,0,0,0,0.08,0.10612194750694533,1.0712578992252935
TCGA-V4-A9F2-01A,0,0.02578129170235396,0.1311734555551841,0.07009533003865338,0,0.0809909517409489,0,0,0.030832841169234786,0,0,0.07674681004467196,0.05221561313668203,0.032915938376303314,0.019934857023404022,0.31506031133312995,0.009063453506813254,0,0.15518914637262032,0,0,0,0.17,0.07693602992153609,1.049772629328477
TCGA-V4-A9F3-01A,0,0,0.04417264086739025,0.5565654524833055,0,0,0,0.05630099639598714,0.05323912885236356,0,0,0.040028132688101785,0.00832503142412187,0,0.049434135127052574,0.19156956709426842,0.0004,0,0,0,0,0,0.06,0.129606779050674,1.082310286502306
