Gene	TCGA-OR-A5J1-01A	TCGA-OR-A5J2-01A	TCGA-OR-A5J3-01A	TCGA-OR-A5J5-01A	TCGA-OR-A5J6-01A	TCGA-OR-A5J7-01A	TCGA-OR-A5J8-01A	TCGA-OR-A5J9-01A	TCGA-OR-A5JA-01A	TCGA-OR-A5JB-01A	TCGA-OR-A5JC-01A	TCGA-OR-A5JD-01A	TCGA-OR-A5JE-01A	TCGA-OR-A5JF-01A	TCGA-OR-A5JG-01A	TCGA-OR-A5JI-01A	TCGA-OR-A5JJ-01A	TCGA-OR-A5JK-01A	TCGA-OR-A5JL-01A	TCGA-OR-A5JM-01A	TCGA-OR-A5JO-01A	TCGA-OR-A5JP-01A	TCGA-OR-A5JQ-01A	TCGA-OR-A5JR-01A	TCGA-OR-A5JS-01A	TCGA-OR-A5JT-01A	TCGA-OR-A5JV-01A	TCGA-OR-A5JW-01A	TCGA-OR-A5JX-01A	TCGA-OR-A5JY-01A	TCGA-OR-A5JZ-01A	TCGA-OR-A5K0-01A	TCGA-OR-A5K1-01A	TCGA-OR-A5K2-01A	TCGA-OR-A5K3-01A	TCGA-OR-A5K4-01A	TCGA-OR-A5K5-01A	TCGA-OR-A5K6-01A	TCGA-OR-A5K8-01A	TCGA-OR-A5K9-01A	TCGA-OR-A5KO-01A	TCGA-OR-A5KT-01A	TCGA-OR-A5KU-01A	TCGA-OR-A5KV-01A	TCGA-OR-A5KW-01A	TCGA-OR-A5KX-01A	TCGA-OR-A5KY-01A	TCGA-OR-A5KZ-01A	TCGA-OR-A5L3-01A	TCGA-OR-A5L4-01A	TCGA-OR-A5L5-01A	TCGA-OR-A5L6-01A	TCGA-OR-A5L8-01A	TCGA-OR-A5L9-01A	TCGA-OR-A5LA-01A	TCGA-OR-A5LB-01A	TCGA-OR-A5LC-01A	TCGA-OR-A5LD-01A	TCGA-OR-A5LE-01A	TCGA-OR-A5LG-01A	TCGA-OR-A5LH-01A	TCGA-OR-A5LJ-01A	TCGA-OR-A5LK-01A	TCGA-OR-A5LL-01A	TCGA-OR-A5LM-01A	TCGA-OR-A5LN-01A	TCGA-OR-A5LO-01A	TCGA-OR-A5LP-01A	TCGA-OR-A5LR-01A	TCGA-OR-A5LS-01A	TCGA-OR-A5LT-01A	TCGA-OU-A5PI-01A	TCGA-P6-A5OF-01A	TCGA-P6-A5OG-01A	TCGA-PA-A5YG-01A	TCGA-PK-A5H8-01A	TCGA-PK-A5H9-01A	TCGA-PK-A5HA-01A	TCGA-PK-A5HB-01A
DACH1	4.533890190156975	0.8419148003496737	0.2687155968927428	0.4925152121382974	0.5109574103065138	0.20544771876791668	0.11360778302706076	9.037372332167607	0.3138086140682559	0.0	0.389891382547749	0.2589602391471719	0.2719321504061687	5.721846357815579	0.4472521224899151	0.9578777274341572	2.4384641137904746	1.847354208895518	0.18906065735769162	1.7614854523003176	0.7945618996665178	0.2381267476088249	0.652131781857503	0.2268927882461469	0.2680784754006509	1.0932189239506362	0.1658351148671049	0.9724128613486298	9.87903167477543	6.235103444960657	0.06698491169942389	4.8769768383181376	0.19912842771610273	1.6363454515577067	0.07799437802140763	0.14726729981877873	2.6279093599760994	5.719166411232072	1.3310858660368412	5.77951733980893	4.999585072305268	0.2952833177810734	6.258662876164748	11.016949016873953	0.11298580778588985	0.23552127718602245	4.033270480107521	6.177058619622909	0.1340431596717262	0.22131550389725585	1.567097284087751	0.2887954161191957	6.741088551702675	0.0	0.1312564832882921	10.008672283771839	3.9034223178677516	1.3194663377513556	8.069183597553439	6.8779446364434556	0.13227051366522025	5.355419433035733	0.07872111198294851	3.0777538904064503	0.12491740706237664	0.05813633479098668	0.22991027414678533	0.17694912100039195	0.266485372088755	0.16678282002017264	2.093079363234868	2.341372607859883	23.242666817991946	0.31314198275973526	1.3204611373931447	0.0947405115449218	0.08674570064892362	0.2048903379406104	0.37209894880138283
ST3GAL6	4.163224890056746	0.20615589145291913	1.8884364636752555	0.8730614326118908	0.1212661252560403	0.23209847716318133	0.9402695921673616	0.2951063996916832	0.29371424593318296	1.6607486056262837	1.202245000345374	4.409356104428098	1.1515600033368596	0.5537293702327957	0.30600230981374543	1.9732427649524875	1.630704661413927	2.363270263525224	3.773441432124832	0.12657551671100564	0.8411893393882308	0.9553384612173681	5.372524974541905	2.055654022483328	11.739450679808911	0.5158993219547172	0.9012051674593877	1.2175714401618372	5.867677601487803	1.1775691582436925	1.8812169648740342	3.7679790507823885	1.1745347098566974	1.9881356024352326	2.5511922185888816	1.2537096939212704	0.3492023882470612	3.6074713659573527	0.4411014211812945	0.15527321256903326	3.1543206635439285	0.8175992804359049	3.4340842299239114	2.8180536415376465	0.7779961872135175	0.17942100123789717	1.1136194997067141	4.719422843676171	1.4589621598139377	1.0958934306362327	1.5741102898930577	1.166814576891909	1.2449323444877565	0.5633006544209229	1.2627982310293797	1.7456300105675404	3.267093414249036	2.9991346508419165	0.030932067252208206	3.795765033320066	3.475369772155921	1.1012899863842747	3.7511260861488047	2.7345647051178736	1.6675074794833953	1.1278464078586232	1.8609317523116649	4.179702678843685	1.6135950561792893	2.49910530278894	5.0969171471981625	3.818102229476138	0.34462069154027875	1.277079801827027	2.7696228047223213	1.3323425473826602	1.7457929034142832	0.3602766344991566	0.21070157924983968
MAP9	1.748487566379353	0.26961005324911613	0.6866947134425443	0.8170450612229212	1.2674731212979515	0.31819123220924306	0.15602301674533892	6.560500176502055	2.9393998603876295	0.02947608454367101	1.4380393403158078	5.452148056339052	0.364976113576698	2.3803656449891033	0.6197210936751563	1.8152853165855296	1.6163033100779978	1.3789732501466987	5.070303685683289	0.47780229803051166	0.5739322685401163	1.5370631456230543	2.812516187100642	2.8892280045410135	0.5581150471376888	8.924984154729767	6.152704125868191	0.05035404533792143	0.6934644015670055	2.324365624342246	0.05956741815527122	1.343437809564842	4.853477203325788	0.7557166480775042	2.5111769552117758	4.8565420059670235	1.6262325050111812	0.1925099389189424	1.2418358348318002	0.013228288955210221	1.2294746667711185	0.09213525442882275	4.476890674767246	1.7112514443185947	0.19675488706396216	1.116844293031805	0.7534285614152418	0.7078605171284165	0.4512872135794179	0.10473429369671905	2.4421723249770353	1.0166438030741065	0.6769806907349734	0.5744213137742551	2.1021842019159775	4.520109235459339	0.07291724857231285	1.684183218099517	0.6964497206703393	0.11835948078289382	8.20466019146125	0.8507142140346007	1.5901966813081256	0.055655529694918604	3.6966267057594457	0.16721677590164852	2.260409619134205	4.5029937473531785	1.998573574802189	1.2079181974036914	5.9130490678120164	3.9756199617701586	2.216115655457175	0.39200952032384295	1.6299216684471927	0.7860602554435909	1.3923003597767134	0.4040851340234335	0.9096503126946898
FCGR2B	0.3889518111293475	0.22706051866480204	0.14506389106383888	0.0820618090016807	0.9470373769799667	0.31554988827144403	2.164080670715685	0.011377275243189322	0.04507612710662534	0.8833763672653736	0.1285058946551283	0.9977706913608599	0.9760302378611618	0.04056120022397747	0.24617957950357883	0.6407114403958896	0.04033367173293567	0.7132300721862621	0.10206283118922	0.07584051203344777	0.603010408167943	0.23143275829205656	1.1616048217725323	0.7557203743962728	0.015111319693968062	0.13758070322598437	0.7053462338205414	0.03226637097069451	0.15870181606693756	0.7846227107731341	0.04821500027581771	0.12865623527334358	0.06393662004068945	1.5424440968397177	0.7500859989823734	0.02679479260642137	0.5917229112370261	0.22173291443059173	0.03459808870898562	0.27124978793503707	0.0375159584224134	1.0922280456280222	0.11981915081792627	0.0	0.09114113704138171	0.2652761960126515	0.14295585836278435	0.12959713500674908	0.1358799252952656	0.13806039652684166	0.5623724915627144	0.04825594282816614	0.010711172522996693	0.08386711733593555	0.4952421724419551	0.07638965274072995	0.013349899138125787	0.022367001862572122	0.12463621153319049	0.29795690964370847	0.1791392161898595	0.1081718515719714	3.284069147388064	0.10069696763182079	0.05903455682479253	0.9025398125954245	0.008537021500394593	1.430633286171639	0.06776010850007697	0.04195240953341406	0.0462357898399659	0.28177310853691884	0.2798667953083227	1.5464679861444286	1.6922844735696052	0.3324417269877973	0.32188173850903734	0.8787219174347121	0.012953219215010137
CD1C	0.06989562553198425	0.32092722012873987	0.0	0.03161695676711451	2.73067089019153	0.011689977367104865	0.13408772065815522	0.0876692395325891	0.015506277473106067	0.19592471354777152	0.3169913996302829	1.5874623579972553	0.0450535670794896	0.01028125636342625	0.0	0.46202757423485563	0.0	0.1522877989038327	0.10923054221405581	0.0	6.5901069665082455	0.10368247581634216	1.6927023376081838	0.279966952959225	0.0	0.0	0.25477253424658386	0.025899290334367553	0.12228997918711171	0.013030223607231939	0.328956779175797	0.05467164840968297	0.7038183870201644	0.07403774516899198	0.0	0.09217462006133581	0.0	0.0	0.033325071925803584	0.027215552909676033	0.015056491792025284	0.22746813894661688	0.37730347285237253	0.0	0.0	0.014039313785291885	0.0	0.6449481951436296	0.0	0.07387807978296146	0.8479575087957039	0.0	0.025792652720133757	0.4936633470380849	0.8268347038091559	0.06131578282117034	0.0	0.0	0.0	0.11740653673122714	0.026143619957519126	0.013709438221392256	2.8380414604677506	0.08082656716638681	0.042646810684620284	0.23817298056773484	0.013704844503895197	0.26813757198673116	0.39160148558356833	0.0	0.022267285267209447	0.018589412945471562	0.0	0.20275407246125132	0.6643449708846221	0.0	1.5614246961703722	0.5969834362895057	0.0
CD79B	0.6172321393129498	1.0086406515102788	0.8568688471330306	0.16359495058026785	1.0386910036360368	0.6532617881109248	3.590978164101844	1.111381474342898	0.4600071401318848	0.7144658424349011	1.1767797712195214	0.9274636065023107	0.9739223819464415	0.7234939874558592	0.37976497186372526	1.3774752378451924	0.8710812667047989	1.7160443237012801	1.818025529995115	0.15865872929621871	2.6420572258022705	0.4470683677760954	1.6730210945279573	0.8397838158358157	0.40167050155817585	0.923213468320595	0.6542496075105415	0.3305583702650088	0.9385976377338083	0.6921993064823269	1.3616912830317656	0.4023272588101634	3.444490992802119	0.6980786437557414	0.4883429243429165	0.2034931996732603	1.0072406501429736	0.5188231892043467	0.6437506682591685	0.234701432845404	0.2700758215182071	9.749347317077032	0.7809093512624901	0.4135530549404389	0.45423778708649776	0.67800436044708	0.3583217045998204	1.5645094904329033	0.3241352636089774	1.8603601556924794	1.3621108490125495	1.0956225686220264	0.5427307345798114	0.5882749631555524	2.161076521770128	0.5076239327791354	0.6801302941335774	0.26010780026628777	0.6812872790510913	1.0529898763016297	1.3347072131179658	0.9363612216009543	1.4888773697593538	1.338301429423562	1.0690065534037227	1.1776012632986705	0.1040052742756894	1.0697198223656277	0.3452138630264172	0.7666500300823729	0.3379702864832459	0.30779777973097056	0.4735522090039699	2.1634899295990344	1.481401451005108	0.6359643171484803	0.8679862242944651	1.8121891426524606	1.0243119289744396
VNN2	0.08380573103089084	0.11660477551217374	0.08461295110305644	0.03446284311501868	10.884198930860155	0.17201981507384478	1.4881454589737335	0.10750552872831065	0.15211817209567635	0.6559348081761265	0.09049444311510335	0.8417928928436018	2.4145209879669687	0.05043008960618489	0.1461559076423018	0.6205260195181406	0.2117326284427492	1.1988559262950784	1.8008208504928747	0.022118149076418625	10.427078358991299	0.11301507998179194	0.9945030313014687	0.21229020426211687	0.09915906798779184	3.9793642894138745	2.059645158327083	0.22584417245576627	0.08331091916685884	1.1149427374038217	2.478328228981807	0.06952483963479517	0.4555072237490032	0.053801323872892715	0.14632955863886488	0.8238653659384982	0.27543230843094957	0.10656269681787833	0.05448706214992738	0.02224894707107694	0.16411747604628513	0.5733678711260628	0.02419206378510186	0.03266959188286589	0.08771541181208842	0.313711745747943	0.04608028704520817	1.8935668895329867	0.045724685876084914	0.1509899038486524	1.5312753942567743	1.7943556004140966	0.042171428013684675	0.09783612236294159	0.3986338981449389	0.05012617642329498	0.0584005272460808	0.029354035296732306	0.05276459195979455	0.26305861787193074	1.8309222032385581	0.1120758289849002	1.0472778089969226	0.0330382046764186	0.06972826433622625	0.35696548597315503	0.06722296497080027	0.7052674772346075	1.837826738216425	0.19820721006969322	0.04854318930259338	0.04052534383100714	0.19044767912431437	2.2542433411306453	0.44612417457100695	0.6522319793669713	19.52980778121064	0.4771937481610964	0.11559702741512945
RCAN3	0.1445615756549834	0.0988164737950501	0.14795728856763324	0.3429861259576721	1.5353864472805028	0.44088905737755635	0.24964358027488598	0.19998732311775447	0.09118181956187343	5.760496647131689	0.2907732800060261	0.6466779096205422	0.19184530788980592	0.33981026843002105	0.42070896982047223	1.4253521286554958	0.154736977876055	0.40143124043568723	0.11904886617375232	0.35384975558596965	4.523267676674863	0.3363783587303608	0.9931717316460651	0.5800287257034868	0.2041366262448514	0.17913809806310543	0.6888014443870387	0.37023688779219	0.44324069484126394	0.589195521468842	0.15302318319098385	0.5949349672805611	0.062436905623985295	0.5854913675845579	0.03959415036116898	0.33268564649162125	0.649006268847061	0.08539285725371037	0.12163156815682097	0.16555455034126876	0.25339882081111287	0.40358157689089924	0.9405694591454672	0.6053056329375182	0.047468429982236104	0.5038738879306683	0.29879864927409305	0.2995188724141671	0.06464515643140589	0.1460571829538817	0.6954586031442038	0.17278814138505583	0.1045992840278458	0.054599938571820106	0.39012468287158586	0.6029991797224337	0.1347131902047476	0.07098765537443263	0.03533594844343546	0.18780658776882886	0.18288897344184862	0.8506360629387533	1.5405767221526272	0.0901404099705323	0.1498895489276062	0.5392855074346232	0.5279957402852142	0.560248739300637	0.4323153008783711	0.3195532284623437	0.6230875372974753	0.6596391586725621	0.25052698467014634	0.5481646535372893	0.47629225604464964	0.19019540746223917	5.651135406898859	0.8043103577833786	1.8771687413346245
CRYBB1	0.12742315035701712	0.17025731564613267	0.12129903825080879	0.12351270316029317	1.7682992638591664	0.1370018672381348	5.508027558443318	0.09989082476291489	0.20191931192178147	1.0205152956030603	0.3144984243157958	0.2979687688192516	0.27378286830797993	0.13388024393313236	0.3675885995063308	0.23635938745461105	0.46975603701046986	0.15423784432298726	0.46227217899548445	0.017615573659371275	2.4726331084883797	0.18564290843436249	0.5471417210912559	0.3011638511959338	0.07897332910211685	0.2537686132150425	1.6956578932919322	0.11803918847898531	0.07962165160300771	0.22057969273407263	0.2771742692051635	0.11865368340600413	0.257764702482985	0.2892309373447137	0.2542720527282418	0.09602219948261848	0.07312091834050993	0.23502407990105478	0.21697585396326957	0.14175796161687115	0.07842492094899911	1.6661473539626894	0.08670286381079051	0.07805720093258883	0.13336765839901155	0.29250693694092744	0.581953285485123	0.135457622508661	0.21849927025729698	0.21645539936486902	0.856984442212773	0.05043811568147882	0.13434648512965364	0.3506386254739102	0.8282198799142511	0.19961013690613738	0.47442214157168405	0.03506768372779434	0.02521400555902842	0.4246783126853315	0.6127855748671547	0.17852126903602872	0.8854124924682658	0.18418849074219623	0.33320239563891896	0.2067623878490954	0.12492301546427331	0.409886776083602	0.424945653215991	0.1841680323052366	0.20297176089714664	0.4357209949005527	0.2762713431838846	2.164979283706788	1.745638753464804	0.5264772899622705	0.19016032137089978	1.2783559406948348	0.1624676914608414
MEP1A	0.0	0.011447441235013622	0.007476036921298723	0.007612471973283297	0.0	0.0	0.0058699169964893105	0.0	0.014933898103294041	0.05391216949986388	0.0	0.006886778171939056	0.0	0.004950873450151105	0.006796688534491668	0.007945944019976059	0.006681351997742224	0.02444440620002042	0.006574908895868425	0.0	0.01536767066468725	0.0	0.0	0.01172315662382184	0.0	0.01251243900508614	0.020447348246296793	0.0	0.0	0.037647726596797826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016047475910599962	0.006552737990839663	0.0	0.013691979001199117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006094455700303314	0.0	0.0	0.0	0.0	0.007381556069482764	0.0	0.0	0.0	0.006281818799716676	0.0	0.0	0.01423584135828082	0.0	0.0	0.0	0.0	0.00561391035600689	0.0	0.0	0.0	0.0	0.0060096924632582205	0.013017990782219657	0.011425395891898615	0.0	0.005409310122637789	0.025553205997674855	0.0
